k,start,end,matches,median_range_logerr,mean_range_logerr,median_close_logerr,mean_close_logerr,inside_daily_range
161,1991-11-30 08:43:48.431000+00:00,2029-08-12 01:06:54.282000+00:00,651,0.14811789511035156,0.3183700178357011,0.15062193257268197,0.32274974273684215,0.04608294930875576
175,1993-10-26 07:22:50.575000+00:00,2031-07-08 23:45:56.426000+00:00,666,0.1499227834038812,0.3158623926940893,0.15692662630319615,0.32081963770313693,0.02702702702702703
159,1991-08-22 22:38:13.839000+00:00,2029-05-04 15:01:19.690000+00:00,648,0.15257986441352162,0.3117935554779149,0.15513928158949716,0.3168422069961447,0.040123456790123455
146,1989-11-14 17:01:58.991000+00:00,2027-07-28 09:25:04.842000+00:00,790,0.157062280752882,0.33199002202292716,0.16784720136825898,0.3369027711273928,0.05822784810126582
160,1991-10-11 15:41:01.135000+00:00,2029-06-23 08:04:06.986000+00:00,641,0.15720004205948576,0.31940732265772254,0.16032226026260238,0.32461515726563767,0.0421216848673947
158,1991-07-04 05:35:26.543000+00:00,2029-03-15 21:58:32.394000+00:00,676,0.15892393921787035,0.3230886728392239,0.16446222389184778,0.3276318486571614,0.03994082840236687
145,1989-09-25 23:59:11.695000+00:00,2027-06-08 16:22:17.546000+00:00,796,0.16802418037844052,0.3439424007885452,0.17532396069450656,0.3491877157882343,0.04271356783919598
147,1990-01-03 10:04:46.287000+00:00,2027-09-16 02:27:52.138000+00:00,752,0.16961932701332622,0.332497021133386,0.1757857424902461,0.3373651193212872,0.0425531914893617
177,1994-02-02 17:28:25.167000+00:00,2031-10-16 09:51:31.018000+00:00,622,0.17204998782119973,0.3071645020297317,0.17798110482419663,0.3124969506482193,0.02572347266881029
176,1993-12-15 00:25:37.871000+00:00,2031-08-27 16:48:43.722000+00:00,636,0.173856205481784,0.3162070479304087,0.1802162513019292,0.3208568990884036,0.03459119496855346
178,1994-03-24 10:31:12.463000+00:00,2031-12-05 02:54:18.314000+00:00,607,0.17455510714465491,0.3099893027309805,0.18133421742963787,0.31486063589332025,0.026359143327841845
152,1990-09-08 23:18:42.767000+00:00,2028-05-21 15:41:48.618000+00:00,707,0.17787233303005956,0.3475363641218231,0.18392283816092841,0.35279141500172123,0.033946251768033946
179,1994-05-13 03:33:59.759000+00:00,2032-01-23 19:57:05.610000+00:00,574,0.18026729543342612,0.3020924351385116,0.18460209853707188,0.3067937290992553,0.03832752613240418
148,1990-02-22 03:07:33.583000+00:00,2027-11-04 19:30:39.434000+00:00,725,0.18255339401313006,0.3233009012557511,0.19085365291451864,0.3282420290363549,0.04275862068965517
144,1989-08-07 06:56:24.399000+00:00,2027-04-19 23:19:30.250000+00:00,796,0.1849932231637706,0.3496712095464397,0.1864437158285172,0.35425047261731774,0.03391959798994975
181,1994-08-20 13:39:34.351000+00:00,2032-05-02 06:02:40.202000+00:00,589,0.18798904544889997,0.3024357868143109,0.1886158828715437,0.3076384740619685,0.025466893039049237
149,1990-04-12 20:10:20.879000+00:00,2027-12-24 12:33:26.730000+00:00,700,0.18838555069764595,0.3082647210341958,0.1930450078318513,0.3135479441761095,0.03142857142857143
184,1995-01-16 16:47:56.239000+00:00,2032-09-28 09:11:02.090000+00:00,655,0.1889101276366859,0.30106378736065387,0.19391368643839127,0.30606158166414515,0.05343511450381679
180,1994-07-01 20:36:47.055000+00:00,2032-03-13 12:59:52.906000+00:00,563,0.1907640337442345,0.302920020147389,0.2018939987260572,0.3080170361205853,0.03019538188277087
186,1995-04-26 02:53:30.831000+00:00,2033-01-05 19:16:36.682000+00:00,596,0.1909852735684246,0.3060716676819101,0.1959374019441763,0.31065849218500713,0.03523489932885906
187,1995-06-14 19:56:18.127000+00:00,2033-02-24 12:19:23.978000+00:00,576,0.19114994857775885,0.3032642556092551,0.1997714484890351,0.30870632868362835,0.036458333333333336
150,1990-06-01 13:13:08.175000+00:00,2028-02-12 05:36:14.026000+00:00,706,0.1916020502778621,0.3287709195292941,0.19823806057105653,0.3337497558527889,0.029745042492917848
182,1994-10-09 06:42:21.647000+00:00,2032-06-20 23:05:27.498000+00:00,631,0.19182595290715712,0.30841007371060414,0.1924873312335165,0.3134284440658034,0.03803486529318542
141,1989-03-11 03:48:02.511000+00:00,2026-11-21 20:11:08.362000+00:00,790,0.19185864843345496,0.32395305778992806,0.19750584533152135,0.32880642344524935,0.04177215189873418
143,1989-06-18 13:53:37.103000+00:00,2027-03-01 06:16:42.954000+00:00,785,0.19274067227387134,0.3514575879975426,0.19762346752817023,0.35670663718594164,0.044585987261146494
157,1991-05-15 12:32:39.247000+00:00,2029-01-25 04:55:45.098000+00:00,717,0.19488733714857842,0.3371639024903291,0.2024094663881577,0.34259750314661064,0.04602510460251046
190,1995-11-10 23:04:40.015000+00:00,2033-07-23 15:27:45.866000+00:00,545,0.1951127019730069,0.28883251282096906,0.20625264148072264,0.29394921092288784,0.029357798165137616
189,1995-09-22 06:01:52.719000+00:00,2033-06-03 22:24:58.570000+00:00,548,0.19596577716942562,0.2955632395093817,0.19804444254389264,0.30048539976274136,0.029197080291970802
142,1989-04-29 20:50:49.807000+00:00,2027-01-10 13:13:55.658000+00:00,751,0.19652915897012121,0.3437236524733235,0.20268950983211453,0.34882424981200977,0.03062583222370173
153,1990-10-28 16:21:30.063000+00:00,2028-07-10 08:44:35.914000+00:00,730,0.196545971953407,0.3577111591060526,0.20021699804695703,0.3625042202301993,0.031506849315068496
185,1995-03-07 09:50:43.535000+00:00,2032-11-17 02:13:49.386000+00:00,624,0.19758706055536351,0.2991296448791944,0.20879724767859426,0.304507589404049,0.04487179487179487
183,1994-11-27 23:45:08.943000+00:00,2032-08-09 16:08:14.794000+00:00,648,0.20143279813163756,0.3088632980192266,0.20254401696910432,0.3138891524601179,0.033950617283950615
151,1990-07-21 06:15:55.471000+00:00,2028-04-01 22:39:01.322000+00:00,703,0.20232859482889096,0.33691022586161123,0.2067364933888983,0.34168980212796274,0.02275960170697013
