source_row_group,timestamp_cycle,path_score,local_best_cycle,local_best_score,second_best_cycle,second_best_score
281,351,0.0018407966139891143,351,0.0018407966139891143,331,0.0030282119248916835
282,351,0.0024019589535372384,351,0.0024019589535372384,331,0.0037660498448161784
283,350,0.00689889651709133,350,0.00689889651709133,351,0.007388218006072796
284,351,0.016930094309402503,325,0.014989269448629147,351,0.016930094309402503
285,352,0.0024219503490184083,352,0.0024219503490184083,351,0.005596877434058241
286,351,0.0013882596697660707,351,0.0013882596697660707,340,0.003910905413035869
287,351,0.0013140768584678413,351,0.0013140768584678413,325,0.006639403148016505
288,351,0.0021548608956484965,361,0.0010563995647253402,351,0.0021548608956484965
289,352,0.0014439148702867196,352,0.0014439148702867196,356,0.004897664863825803
290,352,0.001661334572575098,352,0.001661334572575098,339,0.005234890583975816
291,352,0.0005093203551839578,352,0.0005093203551839578,325,0.00766549599844044
292,353,0.002748177359443764,353,0.002748177359443764,320,0.005479427001434491
293,353,0.004736455200467216,353,0.004736455200467216,363,0.014878424374739355
294,352,0.001579572730102246,352,0.001579572730102246,326,0.0016763996671454592
295,352,0.002177884358886769,352,0.002177884358886769,341,0.005116882443200996
296,353,0.001999165010190464,353,0.001999165010190464,343,0.004873090566845223
297,353,0.0016042324916587514,353,0.0016042324916587514,299,0.005664987587976219
298,353,0.002333334289053614,353,0.002333334289053614,342,0.0040251050866051755
299,353,0.0006364217855758324,353,0.0006364217855758324,342,0.0022412790172531448
300,354,0.0021479219341916187,354,0.0021479219341916187,342,0.003999114498758288
301,354,0.004142668502153256,354,0.004142668502153256,343,0.0071960115158113055
302,353,0.001695575262097083,353,0.001695575262097083,342,0.002934120940188127
303,354,0.0013660860767904257,354,0.0013660860767904257,324,0.006682943622142581
304,354,0.0007249947916434759,354,0.0007249947916434759,301,0.005734003158086031
305,352,1.0,240,1.0,241,1.0
306,355,0.0015581419019799001,355,0.0015581419019799001,321,0.007433005787287905
307,355,0.0028286539864137905,355,0.0028286539864137905,325,0.005336521330508737
308,356,0.0009850644144273556,356,0.0009850644144273556,352,0.006174965161572839
309,355,0.005111804687909971,355,0.005111804687909971,361,0.010827495613641616
310,355,0.000686197336182159,355,0.000686197336182159,325,0.0012458388676769138
311,356,0.0007031148386045475,356,0.0007031148386045475,346,0.003143993777825702
312,356,0.0010499168643409035,356,0.0010499168643409035,339,0.004159508453667575
313,356,0.0008504090104643686,356,0.0008504090104643686,358,0.0037630145722368424
314,357,0.0009253068113723902,357,0.0009253068113723902,323,0.011445105266109305
315,357,0.001782461352530963,357,0.001782461352530963,296,0.00899766238315968
316,356,0.0008169734599057211,356,0.0008169734599057211,345,0.002425861574359
317,357,0.007055288419359965,357,0.007055288419359965,330,0.009153673739826437
318,357,0.002069431675394619,357,0.002069431675394619,329,0.003878395157322392
319,358,0.001401629759058986,358,0.001401629759058986,357,0.006252080195273013
320,358,0.001793905993361423,358,0.001793905993361423,298,0.004837370292890456
321,358,0.0019644165234997866,358,0.0019644165234997866,322,0.005650643911837045
322,359,0.001191393663200545,359,0.001191393663200545,346,0.004728895159803127
323,358,0.0022242083267279638,358,0.0022242083267279638,356,0.005079627553354197
324,359,0.0022554902450109783,359,0.0022554902450109783,339,0.005385684467956728
325,359,0.0012547875551842025,359,0.0012547875551842025,343,0.004267823855607985
326,360,0.0016736367006593411,360,0.0016736367006593411,344,0.006972869510045545
327,360,0.001336720329375491,360,0.001336720329375491,341,0.006571860329732497
328,361,0.002033941449228738,361,0.002033941449228738,327,0.004027649421857588
329,360,0.0013829308981316998,360,0.0013829308981316998,342,0.0030313960372165103
330,361,0.002159581459855261,361,0.002159581459855261,327,0.006905072320350605
331,361,0.0019839930978112893,361,0.0019839930978112893,360,0.00573862155175075
332,362,0.001125189147145932,362,0.001125189147145932,331,0.009261200819398704
333,361,0.0014445665178082592,361,0.0014445665178082592,325,0.002493813861864561
334,362,0.0021105508154386473,362,0.0021105508154386473,351,0.00526928998169308
335,362,0.0018925520076983485,362,0.0018925520076983485,351,0.006274332323671536
336,363,0.0014703095470805013,363,0.0014703095470805013,353,0.0070379394994827885
337,363,0.003092753994898045,363,0.003092753994898045,301,0.020650577552416827
338,363,0.0013821067428098726,363,0.0013821067428098726,318,0.005359590874107922
339,364,0.0020916605920685326,364,0.0020916605920685326,303,0.012111564775005669
340,363,0.00788448052939293,300,0.005750694924050733,363,0.00788448052939293
341,363,0.0033109828861873254,363,0.0033109828861873254,320,0.010339466217137773
342,364,0.0041209562946847335,364,0.0041209562946847335,318,0.015790251789815676
343,364,0.0020472373610538586,364,0.0020472373610538586,365,0.005729202715724721
344,364,0.0017056673075340793,364,0.0017056673075340793,365,0.002431258903526113
345,364,0.0004715585004534803,364,0.0004715585004534803,367,0.018316183022316048
346,362,1.0,240,1.0,241,1.0
347,365,0.0012383760650989638,365,0.0012383760650989638,366,0.005241363167802046
348,365,0.002828367679374623,365,0.002828367679374623,367,0.00317666434497536
349,364,0.008076242565730862,364,0.008076242565730862,303,0.016129098281752165
350,366,0.00240562824586343,366,0.00240562824586343,365,0.004009977330349212
351,365,0.001832044984569476,365,0.001832044984569476,364,0.0020751304778214193
352,365,0.0017560643429311135,365,0.0017560643429311135,303,0.012136083934998671
