timeframe,symbol,source_file,rows,start,end,large_gap_count,large_gap_pct,exclude,reason
5m,EWG,C:\Users\marti\from\data\cache\yahoo\EWG_5m_60d.csv,6365,2026-03-25 09:15:00+00:00,2026-06-18 14:38:29+00:00,565,8.87806411062225,True,large internal gaps >0.5%
5m,EWJ,C:\Users\marti\from\data\cache\yahoo\EWJ_5m_60d.csv,9211,2026-03-25 08:10:00+00:00,2026-06-18 14:38:38+00:00,258,2.801302931596091,True,large internal gaps >0.5%
5m,EWU,C:\Users\marti\from\data\cache\yahoo\EWU_5m_60d.csv,6068,2026-03-25 12:00:00+00:00,2026-06-18 14:38:18+00:00,480,7.911653205867809,True,large internal gaps >0.5%
5m,EWZ,C:\Users\marti\from\data\cache\yahoo\EWZ_5m_60d.csv,9945,2026-03-25 08:00:00+00:00,2026-06-18 14:38:36+00:00,176,1.7699115044247788,True,large internal gaps >0.5%
5m,FXE,C:\Users\marti\from\data\cache\yahoo\FXE_5m_60d.csv,4894,2026-03-25 11:55:00+00:00,2026-06-18 14:36:00+00:00,335,6.846515430206418,True,large internal gaps >0.5%
5m,FXI,C:\Users\marti\from\data\cache\yahoo\FXI_5m_60d.csv,10194,2026-03-25 08:00:00+00:00,2026-06-18 14:38:42+00:00,175,1.7168645148631412,True,large internal gaps >0.5%
5m,FXY,C:\Users\marti\from\data\cache\yahoo\FXY_5m_60d.csv,6164,2026-03-25 08:00:00+00:00,2026-06-18 14:36:05+00:00,404,6.555249067012818,True,large internal gaps >0.5%
5m,GC=F,C:\Users\marti\from\data\cache\yahoo\GC_F_5m_60d.csv,13616,2026-04-08 04:00:00+00:00,2026-06-18 03:12:32+00:00,51,0.374586852735953,False,
5m,GDX,C:\Users\marti\from\data\cache\yahoo\GDX_5m_60d.csv,11185,2026-03-25 08:00:00+00:00,2026-06-18 14:38:17+00:00,119,1.0640200286123032,True,large internal gaps >0.5%
5m,GDXJ,C:\Users\marti\from\data\cache\yahoo\GDXJ_5m_60d.csv,10399,2026-03-25 08:00:00+00:00,2026-06-18 14:38:08+00:00,140,1.3464127716868628,True,large internal gaps >0.5%
5m,GLD,C:\Users\marti\from\data\cache\yahoo\GLD_5m_60d.csv,11325,2026-03-24 08:00:00+00:00,2026-06-17 23:59:48+00:00,119,1.050865418580007,True,large internal gaps >0.5%
