entry_time,exit_time,direction,leader_close,xau_entry,xau_exit,gross,spread_cost,pnl,equity
2026-03-26 19:35:00+00:00,2026-03-26 23:20:00,1,645.8400268554688,4383.48,4397.41,13.930000000000291,1.6318821840055864,12.298117815994704,-173.35252866459575
2026-03-26 23:20:00+00:00,2026-03-27 08:05:00,-1,647.0811,4397.41,4446.3,-48.89000000000033,1.7121458134567944,-50.60214581345712,-223.95467447805288
2026-03-27 08:10:00+00:00,2026-03-27 08:55:00,1,646.84,4447.15,4424.23,-22.920000000000073,1.6090430600244416,-24.529043060024513,-248.4837175380774
2026-03-27 08:55:00+00:00,2026-03-27 09:40:00,1,645.33,4424.23,4432.7815,8.551500000000487,1.7080401667757943,6.843459833224693,-241.6402577048527
2026-03-27 09:40:00+00:00,2026-03-27 11:25:00,-1,645.59,4432.7815,4415.5685,17.212999999999738,1.7043981500407202,15.508601849959017,-226.1316558548937
2026-03-27 11:25:00+00:00,2026-03-27 12:10:00,1,642.95,4415.5685,4424.87,9.301499999999578,1.6839169836369152,7.617583016362663,-218.51407283853104
2026-03-27 12:10:00+00:00,2026-04-01 09:05:00,1,642.5288,4424.87,4720.56,295.6900000000005,1.6234601890186593,294.06653981098185,75.55246697245082
2026-04-01 09:05:00+00:00,2026-04-01 09:50:00,-1,652.75,4720.56,4723.3,-2.7399999999997817,1.5756892695079558,-4.315689269507738,71.23677770294307
2026-04-01 09:50:00+00:00,2026-04-01 10:35:00,-1,653.6687,4723.3,4730.23,-6.9299999999993815,1.577577668845302,-8.507577668844684,62.72920003409839
2026-04-01 10:40:00+00:00,2026-04-01 12:25:00,-1,653.959,4734.91,4735.6025,-0.6925000000001091,1.555013038895361,-2.24751303889547,60.48168699520292
2026-04-01 12:35:00+00:00,2026-04-01 14:20:00,1,653.9492,4736.07,4739.9935,3.9234999999998763,1.4115922233418579,2.5119077766580187,62.99359477186094
2026-04-01 14:20:00+00:00,2026-04-01 15:05:00,-1,654.6199951171875,4739.9935,4773.3685,-33.375,1.4313824809026872,-34.806382480902684,28.187212290958257
2026-04-01 15:05:00+00:00,2026-04-01 15:50:00,-1,656.969970703125,4773.3685,4785.63,-12.261500000000524,1.3741358130964223,-13.635635813096947,14.55157647786131
2026-04-01 15:55:00+00:00,2026-04-01 16:40:00,-1,657.8200073242188,4786.6715,4784.265,2.406500000000051,1.5396442739617746,0.8668557260382763,15.418432203899586
2026-04-01 16:40:00+00:00,2026-04-01 17:25:00,1,657.8699951171875,4784.265,4785.3235,1.0585000000000946,1.3755392393927157,-0.31703923939262113,15.101392964506966
2026-04-01 17:25:00+00:00,2026-04-01 18:10:00,-1,658.2999877929688,4785.3235,4771.42,13.90350000000035,1.52721466988933,12.376285330111019,27.477678294617984
2026-04-01 18:10:00+00:00,2026-04-01 18:55:00,1,655.905029296875,4771.42,4753.33,-18.090000000000146,1.5454861752548346,-19.63548617525498,7.8421921193630055
2026-04-01 18:55:00+00:00,2026-04-01 19:40:00,-1,654.4099731445312,4753.33,4769.47,-16.140000000000327,1.5381850315007628,-17.67818503150109,-9.835992912138085
2026-04-01 19:40:00+00:00,2026-04-01 20:25:00,-1,656.155029296875,4769.47,4762.25,7.220000000000255,1.5670793800304261,5.652920619969828,-4.183072292168257
2026-04-01 22:20:00+00:00,2026-04-01 23:05:00,1,654.84,4765.975,4787.475,21.5,11.899400404391326,9.600599595608674,5.417527303440417
2026-04-01 23:05:00+00:00,2026-04-01 23:50:00,1,654.85,4787.475,4785.7985,-1.6765000000004875,2.7178931316133594,-4.394393131613847,1.0231341718265705
2026-04-02 08:00:00+00:00,2026-04-02 08:45:00,1,648.15,4641.92,4627.75,-14.170000000000073,1.2589800897139942,-15.428980089714067,-14.405845917887497
2026-04-02 08:50:00+00:00,2026-04-02 09:35:00,-1,648.16,4627.29,4622.605,4.6850000000004,1.2276530692212266,3.4573469307791735,-10.948498987108323
2026-04-02 10:15:00+00:00,2026-04-02 11:00:00,1,646.71,4614.92,4626.79,11.86999999999989,1.2474153158166101,10.62258468418328,-0.3259143029250424
2026-04-02 11:00:00+00:00,2026-04-02 11:45:00,-1,647.29,4626.79,4604.295,22.49499999999989,1.5832944204837216,20.91170557951617,20.585791276591127
2026-04-02 11:45:00+00:00,2026-04-02 12:30:00,1,645.26,4604.295,4622.105,17.80999999999949,1.5731540433183069,16.236845956681183,36.82263723327231
2026-04-02 12:30:00+00:00,2026-04-02 13:30:00,-1,645.5501,4622.105,4600.015,22.089999999999236,1.6282348818442496,20.461765118154986,57.284402351427296
2026-04-02 13:35:00+00:00,2026-04-02 14:20:00,-1,645.3499755859375,4590.13,4675.2785,-85.14850000000024,1.5671222619281,-86.71562226192835,-29.43121991050105
2026-04-02 14:20:00+00:00,2026-04-02 15:05:00,-1,650.7100219726562,4675.2785,4670.88,4.39850000000024,1.5532234766684652,2.845276523331775,-26.585943387169273
2026-04-02 15:05:00+00:00,2026-04-02 15:50:00,-1,654.843017578125,4670.88,4662.18,8.699999999999818,1.8620734583096847,6.837926541690133,-19.74801684547914
2026-04-02 15:50:00+00:00,2026-04-02 16:35:00,1,654.469970703125,4662.18,4664.09,1.9099999999998545,1.888970969187718,0.021029030812136584,-19.726987814667
2026-04-02 16:45:00+00:00,2026-04-02 17:30:00,-1,654.27001953125,4660.53,4651.8165,8.71349999999984,1.9203664795058941,6.793133520493946,-12.933854294173056
