model,leader,entry_time,exit_time,direction,xau_entry,xau_exit,gross_per_oz,cost_per_oz,ounces,notional,pnl,pnl_per_dollar,desired_notional,equity
ZB=F_60m_divergence_fade_w12_q0.85_all_h8_cost2.0,ZB=F,2024-07-25 11:00:00+00:00,2024-07-25 23:00:00,-1,2368.595,2363.85,4.744999999999891,0.7646531190736272,211.09560731150748,500000.0,840.233742139594,0.001680467484279188,500000.0,916675.7639853042
ZB=F_60m_divergence_fade_w12_q0.85_all_h8_cost2.0,ZB=F,2024-07-25 17:00:00+00:00,2024-07-26 03:00:00,-1,2356.1835,2371.81,-15.62649999999985,0.7499474801938354,212.20758060651897,500000.0,-3475.206298701626,-0.006950412597403252,500000.0,913200.5576866026
GC=F_60m_volz_follow_w6_q0.65_all_h8_cost2.0,GC=F,2024-07-25 18:00:00+00:00,2024-07-26 04:00:00,-1,2357.2415,2369.8565,-12.614999999999782,0.747385568359279,212.11233554135202,500000.0,-2834.326811308697,-0.005668653622617394,500000.0,910366.2308752938
GC=F_60m_volz_follow_w6_q0.65_all_h8_cost2.0,GC=F,2024-07-25 19:00:00+00:00,2024-07-26 05:00:00,-1,2362.6265,2374.3335,-11.707000000000335,0.7316677826976586,211.62887997743192,500000.0,-2632.381331263743,-0.005264762662527486,500000.0,907733.8495440301
GC=F_60m_volz_follow_w6_q0.65_all_h8_cost2.0,GC=F,2024-07-25 20:00:00+00:00,2024-07-26 08:00:00,-1,2364.61,2373.03,-8.420000000000073,0.7442611619338108,211.45135984369514,500000.0,-1937.7954846536813,-0.0038755909693073626,500000.0,905796.0540593765
SPY_60m_divergence_follow_w12_q0.55_all_h6_cost2.0,SPY,2024-07-25 11:00:00+00:00,2024-07-26 09:00:00,-1,2368.595,2373.8315,-5.236499999999978,0.7646531190736272,211.09560731150748,500000.0,-1266.8170622401901,-0.0025336341244803803,500000.0,904529.2369971363
GC=F_60m_volz_follow_w6_q0.65_all_h8_cost2.0,GC=F,2024-07-26 03:00:00+00:00,2024-07-26 14:00:00,1,2371.81,2381.9315,10.121500000000196,0.8139415190251499,210.8094661882697,500000.0,1962.121434890452,0.003924242869780904,500000.0,906491.3584320267
EFA_60m_volz_follow_w6_q0.75_all_h8_cost2.0,EFA,2024-07-25 20:00:00+00:00,2024-07-26 20:00:00,-1,2364.61,2387.45,-22.83999999999969,0.7442611619338108,211.45135984369514,500000.0,-4986.924093599685,-0.00997384818719937,500000.0,901504.434338427
GC=F_60m_volz_follow_w6_q0.65_all_h8_cost2.0,GC=F,2024-07-26 17:00:00+00:00,2024-07-29 04:00:00,1,2383.4915,2394.9135,11.422000000000025,0.7366223864770838,209.77628827289712,500000.0,2241.53885455915,0.0044830777091183,500000.0,903745.9731929862
GC=F_60m_volz_follow_w6_q0.65_all_h8_cost2.0,GC=F,2024-07-26 20:00:00+00:00,2024-07-29 07:00:00,1,2387.45,2391.6465,4.1965000000000146,0.7267729337436925,209.42846970617188,500000.0,726.6596297841468,0.0014533192595682935,500000.0,904472.6328227704
SPY_60m_divergence_follow_w12_q0.55_all_h6_cost2.0,SPY,2024-07-26 09:00:00+00:00,2024-07-29 11:00:00,1,2373.8315,2387.835,14.003500000000258,0.7428209080831769,210.6299457227693,500000.0,2793.0961173775568,0.005586192234755113,500000.0,907265.7289401479
EEM_60m_divergence_follow_w12_q0.65_all_h6_cost2.0,EEM,2024-07-26 10:00:00+00:00,2024-07-29 12:00:00,1,2372.8265,2393.9035,21.07699999999977,0.7542861318795991,210.71915708965656,500000.0,4282.385136064557,0.008564770272129114,500000.0,911548.1140762125
SPY_60m_divergence_follow_w12_q0.55_all_h6_cost2.0,SPY,2024-07-26 10:00:00+00:00,2024-07-29 12:00:00,1,2372.8265,2393.9035,21.07699999999977,0.7542861318795991,210.71915708965656,500000.0,4282.385136064557,0.008564770272129114,500000.0,915830.4992122771
ZB=F_60m_divergence_fade_w12_q0.85_all_h8_cost2.0,ZB=F,2024-07-29 17:00:00+00:00,2024-08-01 07:00:00,-1,2378.3415,2440.39,-62.048499999999876,0.7453252135691731,210.23053249501805,500000.0,-13201.179312047712,-0.026402358624095425,500000.0,902629.3199002295
GC=F_60m_volz_follow_w6_q0.65_all_h8_cost2.0,GC=F,2024-07-29 17:00:00+00:00,2024-08-01 07:00:00,-1,2378.3415,2440.39,-62.048499999999876,0.7453252135691731,210.23053249501805,500000.0,-13201.179312047712,-0.026402358624095425,500000.0,889428.1405881818
GC=F_60m_volz_follow_w6_q0.65_all_h8_cost2.0,GC=F,2024-07-29 19:00:00+00:00,2024-08-01 09:00:00,-1,2384.7615,2433.0935,-48.33199999999988,0.7432781263091593,209.6645723272537,500000.0,-10289.347200193612,-0.020578694400387225,500000.0,879138.7933879882
SPY_60m_divergence_follow_w12_q0.55_all_h6_cost2.0,SPY,2024-07-26 11:00:00+00:00,2024-08-01 09:00:00,1,2373.305,2433.0935,59.78850000000011,0.7396648014441303,210.67667240409472,500000.0,12440.212108969556,0.024880424217939113,500000.0,891579.0054969578
