exit_time,equity,cum_pnl,drawdown,drawdown_pct
2026-06-03 22:00:00,4955991.348665313,-44008.65133468747,45109.07578602061,0.9021815157204122
2026-06-03 22:00:00,4956521.198208862,-43478.80179113785,44579.226242471486,0.8915845248494296
2026-06-03 23:00:00,4957891.751175052,-42108.24882494854,43208.673276281916,0.8641734655256383
2026-06-03 23:00:00,4959262.304141241,-40737.69585875923,41838.120310092345,0.8367624062018469
2026-06-04 02:00:00,4955052.445117234,-44947.55488276556,46047.97933409922,0.9209595866819844
2026-06-04 03:00:00,4952459.691332661,-47540.308667339465,48640.733118672855,0.972814662373457
2026-06-04 06:00:00,4950184.721807712,-49815.278192287806,50915.70264362171,1.0183140528724342
2026-06-04 08:00:00,4952323.578324394,-47676.42167560569,48776.84612693917,0.9755369225387833
2026-06-04 08:00:00,4954462.434841077,-45537.56515892358,46637.98961025663,0.9327597922051326
2026-06-04 10:00:00,4957309.932390104,-42690.06760989632,43790.49206122942,0.8758098412245884
2026-06-04 10:00:00,4956963.798453891,-43036.20154610924,44136.62599744275,0.8827325199488552
2026-06-04 11:00:00,4965462.859369939,-34537.14063006037,35637.56508139428,0.7127513016278855
2026-06-04 11:00:00,4970605.420143143,-29394.579856856766,30495.004308190197,0.6099000861638039
2026-06-04 15:00:00,4972259.198205492,-27740.801794507137,28841.22624584101,0.5768245249168202
2026-06-04 20:00:00,4974984.845090213,-25015.15490978722,26115.57936112024,0.5223115872224048
2026-06-04 22:00:00,4973428.105142845,-26571.894857154708,27672.31930848863,0.5534463861697726
2026-06-04 22:00:00,4974621.798175547,-25378.20182445269,26478.6262757862,0.529572525515724
2026-06-04 23:00:00,4975837.73611922,-24162.263880780283,25262.688332113437,0.5052537666422687
2026-06-04 23:00:00,4977053.674062892,-22946.325937107875,24046.750388441607,0.48093500776883213
2026-06-04 23:00:00,4977128.417092389,-22871.582907610835,23972.007358944044,0.4794401471788809
2026-06-04 23:00:00,4976820.048403372,-23179.951596627507,24280.376047961414,0.4856075209592282
2026-06-05 03:00:00,4980687.720100267,-19312.27989973332,20412.70435106661,0.40825408702133226
2026-06-05 08:00:00,4985952.381471437,-14047.618528562634,15148.042979896069,0.30296085959792135
