time,XLV
2026-06-04 08:00:00+00:00,147.63
2026-06-04 08:05:00+00:00,147.63
2026-06-04 08:10:00+00:00,147.043
2026-06-04 08:15:00+00:00,147.64
2026-06-04 08:20:00+00:00,148.0
2026-06-04 08:25:00+00:00,148.1
2026-06-04 08:30:00+00:00,147.77
2026-06-04 08:40:00+00:00,148.25
2026-06-04 08:45:00+00:00,148.25
2026-06-04 08:50:00+00:00,148.22
2026-06-04 08:55:00+00:00,147.88
2026-06-04 09:00:00+00:00,148.25
2026-06-04 09:05:00+00:00,148.4
2026-06-04 09:10:00+00:00,148.43
2026-06-04 09:15:00+00:00,148.47
2026-06-04 09:20:00+00:00,149.0
2026-06-04 09:25:00+00:00,148.6
2026-06-04 09:30:00+00:00,148.76
2026-06-04 09:35:00+00:00,149.0
2026-06-04 09:40:00+00:00,148.8
2026-06-04 09:45:00+00:00,149.29
2026-06-04 09:55:00+00:00,148.76
2026-06-04 10:00:00+00:00,149.1
2026-06-04 10:05:00+00:00,149.2213
2026-06-04 10:10:00+00:00,149.2213
2026-06-04 10:15:00+00:00,149.25
2026-06-04 10:20:00+00:00,149.28
2026-06-04 10:25:00+00:00,149.25
2026-06-04 10:30:00+00:00,149.255
2026-06-04 10:35:00+00:00,149.25
2026-06-04 10:40:00+00:00,149.25
2026-06-04 10:45:00+00:00,149.29
2026-06-04 10:50:00+00:00,149.25
2026-06-04 10:55:00+00:00,149.26
2026-06-04 11:00:00+00:00,149.33
2026-06-04 11:05:00+00:00,149.58
2026-06-04 11:10:00+00:00,149.69
2026-06-04 11:15:00+00:00,149.6993
2026-06-04 11:20:00+00:00,149.35
2026-06-04 11:25:00+00:00,149.67
2026-06-04 11:30:00+00:00,149.4
2026-06-04 11:35:00+00:00,149.4
2026-06-04 11:40:00+00:00,149.69
2026-06-04 11:45:00+00:00,149.6175
2026-06-04 11:50:00+00:00,149.64
2026-06-04 11:55:00+00:00,149.6
2026-06-04 12:00:00+00:00,149.59
2026-06-04 12:05:00+00:00,149.44
2026-06-04 12:10:00+00:00,149.44
2026-06-04 12:15:00+00:00,149.61
2026-06-04 12:20:00+00:00,149.7
2026-06-04 12:25:00+00:00,149.57
2026-06-04 12:30:00+00:00,149.65
2026-06-04 12:35:00+00:00,149.35
2026-06-04 12:40:00+00:00,149.9
2026-06-04 12:45:00+00:00,149.79
2026-06-04 12:50:00+00:00,149.79
2026-06-04 12:55:00+00:00,149.6
2026-06-04 13:00:00+00:00,149.75
2026-06-04 13:05:00+00:00,149.7412
2026-06-04 13:10:00+00:00,149.74
2026-06-04 13:30:00+00:00,150.6699981689453
2026-06-04 13:35:00+00:00,150.74000549316406
2026-06-04 13:40:00+00:00,151.25
2026-06-04 13:45:00+00:00,151.75999450683594
2026-06-04 13:50:00+00:00,151.75999450683594
2026-06-04 13:55:00+00:00,151.88999938964844
2026-06-04 14:00:00+00:00,152.1300048828125
2026-06-04 14:05:00+00:00,152.17999267578125
2026-06-04 14:10:00+00:00,152.0800018310547
2026-06-04 14:15:00+00:00,152.27000427246094
2026-06-04 14:20:00+00:00,152.36000061035156
2026-06-04 14:25:00+00:00,152.05999755859375
2026-06-04 14:30:00+00:00,151.99000549316406
2026-06-04 14:35:00+00:00,151.9499969482422
2026-06-04 14:40:00+00:00,152.03500366210938
2026-06-04 14:45:00+00:00,151.7550048828125
2026-06-04 14:50:00+00:00,152.06500244140625
2026-06-04 14:55:00+00:00,151.6999969482422
2026-06-04 15:00:00+00:00,151.86000061035156
